parent	child	score	class
CDC32_FIELD_VALUE	WORK_CITY	0.3303900465166072	0
CDC32_FIELD_VALUE	CDC64_FIELD_VALUE	0.04648043929438413	0
CDC32_FIELD_VALUE	CDC19_FIELD_VALUE	0.59741937372507	0
CDC32_FIELD_VALUE	PARENT_BU_CODE	0.6024973251534395	0
CDC32_FIELD_VALUE	HOME_COUNTRY_NAME	0.04808228462958631	0
CDC32_FIELD_VALUE	CDC18_FIELD_VALUE	0.6083922634157695	0
CDC32_FIELD_VALUE	BUSINESS_UNIT_CODE	0.6020324558609399	1
CDC32_FIELD_VALUE	CDC51_FIELD_VALUE	0.6083922634157715	1
CDC32_FIELD_VALUE	CDC35_FIELD_VALUE	0.046480419117070085	0
CDC32_FIELD_VALUE	CDC7_FIELD_VALUE	0.5778306605263043	0
CDC32_FIELD_VALUE	CDC12_FIELD_VALUE	0.28337766660036423	0
CDC32_FIELD_VALUE	CDC21_FIELD_VALUE	0.5721476815237002	0
CDC32_FIELD_VALUE	WORK_COUNTRY	0.056308577594080464	0
CDC32_FIELD_VALUE	CDC24_FIELD_VALUE	0.6083922634157743	0
CDC32_FIELD_VALUE	CDC43_FIELD_VALUE	0.055953947833455385	0
CDC32_FIELD_VALUE	CITY	0.15563540079508692	0
CDC32_FIELD_VALUE	CDC47_FIELD_VALUE	0.6062671155313835	0
CDC32_FIELD_VALUE	CDC4_FIELD_VALUE	0.6083922634157697	0
CDC32_FIELD_VALUE	CDC10_FIELD_VALUE	0.6083922634157715	1
CDC32_FIELD_VALUE	CDC28_FIELD_VALUE	0.049156930245182834	0
CDC32_FIELD_VALUE	CDC31_FIELD_VALUE	0.04648041669508392	0
CDC32_FIELD_VALUE	CDC30_FIELD_VALUE	0.0465177349073079	0
CDC32_FIELD_VALUE	STATE	0.05555181255689123	0
CDC32_FIELD_VALUE	CDC1_FIELD_VALUE	0.6083922634157747	0
CDC32_FIELD_VALUE	CDC46_FIELD_VALUE	0.5997673336164581	0
CDC32_FIELD_VALUE	PARENT_BU_DESC	0.6024973251534395	0
CDC32_FIELD_VALUE	CDC8_FIELD_VALUE	0.6083922634157717	0
CDC32_FIELD_VALUE	TEST_USER_FLAG	0.04648041669506184	0
CDC32_FIELD_VALUE	CDC11_FIELD_VALUE	0.474428186931303	0
CDC32_FIELD_VALUE	CDC5_FIELD_VALUE	0.60839226341577	0
CDC32_FIELD_VALUE	CDC27_FIELD_VALUE	0.6052842912786105	0
CDC32_FIELD_VALUE	CDC44_FIELD_VALUE	0.3478945255539967	0
